Time,x,y,z,
3.146,-0.0001775,-0.0005566,-0.0001245,
3.148,-0.0001768,-0.0005999,-0.0001316,
3.163,-0.0001487,-0.000735,-0.000151,
3.166,-0.0004638,-0.0003749,-0.0001419,
3.176,-0.000499,-0.000433,-0.0001629,
3.179,-0.00054,-0.0005044,-0.0001875,
3.192,-0.0005629,-0.0005454,-0.0001996,
3.194,-0.0005855,-0.0005877,-0.0002129,
3.206,-0.0001646,-0.0003658,-6.396e-05,
3.209,-0.0001506,-0.0003978,-6.51e-05,
3.222,-0.0001243,-0.0004755,-6.743e-05,
3.225,-0.0001087,-0.0005096,-7.111e-05,
3.237,-0.0002917,-0.000378,-0.0001355,
3.24,-0.0002957,-0.000423,-0.0001443,
3.253,-0.0002982,-0.0005032,-0.0001634,
3.255,-0.000293,-0.0005339,-0.000172,
3.268,-0.00016,-0.0003768,-7.724e-05,
3.27,-0.0001587,-0.0004224,-7.832e-05,
3.284,-0.0001538,-0.0005477,-8.133e-05,
3.286,-0.0001541,-0.0005919,-8.234e-05,
3.298,-0.0002402,-0.0004531,-9.566e-05,
3.301,-0.0002457,-0.0004899,-9.817e-05,
3.315,-0.000263,-0.0005654,-0.0001049,
3.317,-0.0002729,-0.000605,-0.0001088,
3.33,-0.0002926,-0.0003868,-0.0001019,
3.333,-0.0002986,-0.0004136,-0.0001069,
3.346,-0.0003163,-0.0004679,-0.0001182,
3.349,-0.0003214,-0.0005006,-0.0001244,
3.363,-0.0003369,-0.0005668,-0.0001383,
3.365,-7.672e-05,-0.000291,-8.24e-05,
3.377,-5.804e-05,-0.0003294,-8.811e-05,
3.379,-4.852e-05,-0.0003529,-9.341e-05,
3.391,-2.969e-05,-0.0004028,-0.0001053,
3.393,-0.0001178,-0.000252,-0.0001068,
3.406,-0.0001029,-0.0003349,-0.0001289,
3.409,-0.000102,-0.0003689,-0.0001363,
3.423,-0.0001085,-0.000454,-0.0001528,
3.425,-0.0003497,-0.0002052,-0.0001563,
3.438,-0.0003536,-0.0002424,-0.0001785,
3.44,-0.0003581,-0.0002742,-0.0001972,
3.454,-0.0003611,-0.0002927,-0.0002074,
3.457,-0.0003714,-0.0003201,-0.0002177,
3.47,-0.000202,-0.0002943,-4.255e-05,
